,syll,next_syll,size,emp_tp,tp,next_vec,rec,mse,eucl,familiar,pair,n_data,n_model
56,ba,du,,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 0 1],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.1198546026769281,1.199272793038822,0,ba_du,0,0
57,ta,pa,,0.0,0.0,[1 0 0 0 0 0 0 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.16678315332823682,1.4147076870996504,0,ta_pa,0,0
58,ta,ta,,0.0,0.0,[0 0 1 0 0 0 0 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.1666938556362559,1.4143289106976038,0,ta_ta,0,0
59,ta,da,,0.0,0.0,[0 0 0 1 0 0 0 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.16665628515227332,1.4141695166518333,0,ta_da,0,0
60,ta,pi,,0.0,0.0,[0 0 0 0 1 0 0 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.16667167898310908,1.4142348276708894,0,ta_pi,0,0
61,ta,bi,,0.0,0.0,[0 0 0 0 0 1 0 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.16678902935280093,1.414732608033621,0,ta_bi,0,0
62,ta,ti,,0.0,0.0,[0 0 0 0 0 0 1 0 0 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.16658502997253033,1.4138671647896643,0,ta_ti,0,0
63,ta,pu,,0.0,0.0,[0 0 0 0 0 0 0 0 1 0 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.1665680929401884,1.4137952876149575,0,ta_pu,0,0
64,ta,bu,,0.0,0.0,[0 0 0 0 0 0 0 0 0 1 0 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.1666408459970722,1.414104010306479,0,ta_bu,0,0
65,ta,tu,,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 1 0],"[-6.40116632e-04  1.00005794e+00 -1.04330480e-04  1.21092424e-04
  2.87294388e-05 -6.75372779e-04  5.48623502e-04 -6.29425049e-05
  6.50245696e-04  2.13727355e-04 -9.70587134e-05 -2.38262117e-04]",0.16669264367514544,1.414323769192099,0,ta_tu,0,0
