,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
1,1.0,word,47,20.820599,ti-bu-do,2,1,acoustic
2,0.75,part-word,47,16.018143,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,47,67.36288,pi-go-la,2,1,acoustic
0,1.0,word,48,13.952257,pa-bi-ku,2,1,acoustic
1,1.0,word,48,20.823242,ti-bu-do,2,1,acoustic
2,0.75,part-word,48,16.014978,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,48,67.35732,pi-go-la,2,1,acoustic
0,1.0,word,49,13.959564,pa-bi-ku,2,1,acoustic
1,1.0,word,49,20.82988,ti-bu-do,2,1,acoustic
2,0.75,part-word,49,16.018602,tu-da-ro,2,1,acoustic
3,0.752808988764045,part-word,49,67.37454,pi-go-la,2,1,acoustic
0,1.0,word,0,13.8877325,pa-bi-ku,4,1,acoustic
1,1.0,word,0,20.69513,ti-bu-do,4,1,acoustic
2,0.75,part-word,0,15.902487,tu-da-ro,4,1,acoustic
3,0.752808988764045,part-word,0,67.13647,pi-go-la,4,1,acoustic
0,1.0,word,1,13.864824,pa-bi-ku,4,1,acoustic
1,1.0,word,1,20.666996,ti-bu-do,4,1,acoustic
